Death toll (estimate)
""
75.0
""
5.0
""
310000.0
15.0
""
25.0
25.0
""
""
2.0
""
75.0
10.0
17000.0
1.0
5.0
5.0
""
20.0
20.0
2.0
5.0
""
3000.0
19.0
600.0
""
40000.0
30.0
1.0
13712.0
1000.0
15.0
10400.0
200.0
500000.0
""
1250000.0
24148.0
100000.0
40000.0
11300.0
""
750.0
76000.0
83000.0
""
3.0
520.0
500.0
1300.0
18.0
164000.0
""
100.0
844.0
2200.0
""
""
20000.0
50000.0
7.0
20000.0
40.0
""
730.0
8000.0
""
50000.0
1080.0
2.0
""
11.0
""
""
50.0
5.0
60.0
""
29.0
300000.0
300.0
4500.0
60000.0
65000.0
100.0
700.0
5.0
100.0
19000.0
2800.0
150000.0
""
""
17.0
3498.0
20.0
3400.0
""
10000.0
7970.0
1.0
""
4737.0
616.0
3.0
12.0
3.0
6000.0
""
""
20.0
80000.0
600000.0
748.0
13.0
500000.0
40000.0
8000.0
20000.0
4046.0
13000.0
298600.0
3164.0
1.0
20.0
20788.0
500000.0
132.0
800.0
119.0
103.0
200.0
2.0
4.0
80000.0
60000.0
500000.0
7130.0
17.0
2.0
30.0
500.0
538.0
100.0
43.0
""
1627.0
""
""
10277.0
9000.0
1.0
30000.0
36.0
1.0
5.0
35.0
1027.0
24.0
15000.0
700000.0
105.0
42.0
64.0
5.0
145.0
31.0
8.0
8000.0
56.0
178.0
10000.0
105.0
128.0
40.0
400.0
139.0
774.0
455.0
658.0
7.0
227.0
27.0
1.0
61.0
17.0
50.0
50.0
1000.0
394.0
187.0
684.0
10.0
183.0
37.0
95.0
67.0
407.0
123.0
3.0
115.0
18.0
172.0
4293.0
18.0
49.0
1.0
1100.0
18.0
284.0
10075.0
4.0
170.0
350.0
171.0
941.0
8.0
142.0
11.0
183.0
616.0
292.0
12.0
36.0
2035.0
53.0
498.0
3.0
69.0
1317.0
440.0
17.0
2280.0
31.0
7.0
2.0
415.0
15.0
83.0
3930.0
247.0
7.0
55.0
32.0
296.0
4332.0
18.0
280.0
77.0
